Embalaje,Ancho,Largo,Alto,Procedencia,Manipulacion,Temperatura,Protocolo
1,43,29,84,A,Normal,Ambiente,1
2,91,32,59,B,Fragil,Ambiente,2
1,32,13,8,A,Normal,Ambiente,1
1,87,17,80,C,Normal,Refrigerado,1
1,41,87,53,A,Normal,Ambiente,1
2,77,9,18,D,Fragil,Refrigerado,2
1,14,83,64,A,Normal,Ambiente,1
2,60,63,68,D,Fragil,Refrigerado,2
1,56,44,31,C,Normal,Refrigerado,1
1,94,74,49,C,Normal,Refrigerado,1
2,44,99,29,D,Fragil,Refrigerado,2
2,89,16,54,B,Fragil,Ambiente,2
2,85,67,69,B,Fragil,Ambiente,2
1,98,12,41,A,Normal,Ambiente,1
1,39,46,87,C,Normal,Refrigerado,1
1,60,90,29,A,Normal,Ambiente,1
2,42,72,63,B,Fragil,Ambiente,2
2,38,65,91,D,Fragil,Refrigerado,2
2,40,30,91,D,Fragil,Refrigerado,2
1,27,20,7,C,Normal,Refrigerado,1
1,17,8,58,C,Normal,Refrigerado,1
1,95,78,29,A,Normal,Ambiente,1
2,16,47,42,D,Fragil,Refrigerado,2
1,95,33,56,A,Normal,Ambiente,1
1,24,79,88,A,Normal,Ambiente,1
2,64,64,76,B,Fragil,Ambiente,2
1,75,58,71,A,Normal,Ambiente,1
1,75,58,79,C,Normal,Refrigerado,1
1,52,41,73,C,Normal,Refrigerado,1
1,30,42,12,C,Normal,Refrigerado,1
2,59,72,33,D,Fragil,Refrigerado,2
2,91,52,16,D,Fragil,Refrigerado,2
2,95,38,86,D,Fragil,Refrigerado,2
1,40,98,28,C,Normal,Refrigerado,1
2,34,71,36,D,Fragil,Refrigerado,2
1,65,53,14,A,Normal,Ambiente,1
1,52,46,62,A,Normal,Ambiente,1
2,20,83,88,B,Fragil,Ambiente,2
2,9,84,23,B,Fragil,Ambiente,2
2,99,71,58,B,Fragil,Ambiente,2
1,24,7,42,A,Normal,Ambiente,1
1,96,17,43,C,Normal,Refrigerado,1
2,36,80,73,B,Fragil,Ambiente,2
1,79,5,82,A,Normal,Ambiente,1
1,6,68,71,A,Normal,Ambiente,1
2,87,77,90,D,Fragil,Refrigerado,2
2,17,8,30,D,Fragil,Refrigerado,2
2,22,70,92,B,Fragil,Ambiente,2
1,14,76,49,C,Normal,Refrigerado,1
1,99,9,98,C,Normal,Refrigerado,1
1,5,47,83,A,Normal,Ambiente,1
1,32,86,34,A,Normal,Ambiente,1
2,92,31,30,B,Fragil,Ambiente,2
1,60,15,97,C,Normal,Refrigerado,1
2,45,11,74,B,Fragil,Ambiente,2
2,51,39,59,D,Fragil,Refrigerado,2
1,52,24,53,C,Normal,Refrigerado,1
2,66,27,94,D,Fragil,Refrigerado,2
2,44,8,74,D,Fragil,Refrigerado,2
2,73,96,35,B,Fragil,Ambiente,2
1,13,77,88,C,Normal,Refrigerado,1
1,48,78,15,A,Normal,Ambiente,1
1,97,82,7,C,Normal,Refrigerado,1
1,94,99,84,A,Normal,Ambiente,1
1,37,88,57,C,Normal,Refrigerado,1
2,19,65,57,D,Fragil,Refrigerado,2
2,84,90,63,B,Fragil,Ambiente,2
2,68,71,13,D,Fragil,Refrigerado,2
1,32,58,69,A,Normal,Ambiente,1
2,74,90,7,D,Fragil,Refrigerado,2
1,47,13,26,A,Normal,Ambiente,1
1,78,78,93,A,Normal,Ambiente,1
2,98,56,65,D,Fragil,Refrigerado,2
1,99,70,100,C,Normal,Refrigerado,1
1,63,56,61,A,Normal,Ambiente,1
2,29,32,63,D,Fragil,Refrigerado,2
2,5,68,23,D,Fragil,Refrigerado,2
1,17,77,22,A,Normal,Ambiente,1
1,12,60,32,A,Normal,Ambiente,1
2,21,79,99,B,Fragil,Ambiente,2
1,96,99,92,A,Normal,Ambiente,1
1,18,31,76,A,Normal,Ambiente,1
2,43,15,60,D,Fragil,Refrigerado,2
2,24,56,28,B,Fragil,Ambiente,2
1,5,96,95,C,Normal,Refrigerado,1
1,56,13,56,A,Normal,Ambiente,1
1,78,64,96,C,Normal,Refrigerado,1
2,76,56,98,B,Fragil,Ambiente,2
1,15,33,65,A,Normal,Ambiente,1
2,9,76,89,B,Fragil,Ambiente,2
2,42,40,59,D,Fragil,Refrigerado,2
1,59,51,74,C,Normal,Refrigerado,1
2,66,45,76,D,Fragil,Refrigerado,2
2,33,60,42,B,Fragil,Ambiente,2
1,85,40,30,C,Normal,Refrigerado,1
2,77,62,69,B,Fragil,Ambiente,2
2,98,77,13,B,Fragil,Ambiente,2
2,84,42,47,D,Fragil,Refrigerado,2
1,56,69,36,C,Normal,Refrigerado,1
1,75,81,26,C,Normal,Refrigerado,1
2,38,82,34,B,Fragil,Ambiente,2
2,58,90,25,B,Fragil,Ambiente,2
2,75,21,74,B,Fragil,Ambiente,2
2,85,20,64,B,Fragil,Ambiente,2
1,72,38,12,C,Normal,Refrigerado,1
2,96,34,74,B,Fragil,Ambiente,2
2,42,48,93,B,Fragil,Ambiente,2
2,50,55,93,D,Fragil,Refrigerado,2
1,25,57,26,C,Normal,Refrigerado,1
2,89,100,31,B,Fragil,Ambiente,2
2,66,85,17,B,Fragil,Ambiente,2
2,26,40,22,B,Fragil,Ambiente,2
1,97,91,41,C,Normal,Refrigerado,1
1,87,15,56,A,Normal,Ambiente,1
1,72,73,85,A,Normal,Ambiente,1
2,54,29,40,B,Fragil,Ambiente,2
2,18,41,30,D,Fragil,Refrigerado,2
1,64,70,38,C,Normal,Refrigerado,1
1,91,87,24,C,Normal,Refrigerado,1
2,97,87,88,D,Fragil,Refrigerado,2
1,83,57,6,A,Normal,Ambiente,1
1,40,85,91,A,Normal,Ambiente,1
2,96,14,9,B,Fragil,Ambiente,2
1,77,100,20,C,Normal,Refrigerado,1
1,10,67,5,C,Normal,Refrigerado,1
1,96,87,91,C,Normal,Refrigerado,1
1,29,58,49,A,Normal,Ambiente,1
2,97,50,89,B,Fragil,Ambiente,2
1,6,62,73,C,Normal,Refrigerado,1
2,57,52,94,B,Fragil,Ambiente,2
1,42,87,72,A,Normal,Ambiente,1
2,52,35,84,D,Fragil,Refrigerado,2
2,62,21,34,D,Fragil,Refrigerado,2
1,38,11,21,C,Normal,Refrigerado,1
1,60,35,89,A,Normal,Ambiente,1
1,6,96,72,A,Normal,Ambiente,1
2,93,76,29,D,Fragil,Refrigerado,2
2,100,89,11,B,Fragil,Ambiente,2
2,34,33,79,B,Fragil,Ambiente,2
2,100,77,90,B,Fragil,Ambiente,2
2,56,79,82,D,Fragil,Refrigerado,2
2,46,28,38,B,Fragil,Ambiente,2
1,100,27,67,C,Normal,Refrigerado,1
2,32,34,65,B,Fragil,Ambiente,2
1,91,43,45,A,Normal,Ambiente,1
2,37,18,68,D,Fragil,Refrigerado,2
1,66,38,48,A,Normal,Ambiente,1
1,52,56,48,C,Normal,Refrigerado,1
1,56,18,31,C,Normal,Refrigerado,1
1,30,31,50,A,Normal,Ambiente,1
2,21,33,13,B,Fragil,Ambiente,2
2,18,93,29,B,Fragil,Ambiente,2
1,60,24,42,C,Normal,Refrigerado,1
1,95,21,31,C,Normal,Refrigerado,1
2,94,28,48,B,Fragil,Ambiente,2
2,15,87,35,D,Fragil,Refrigerado,2
1,89,37,81,A,Normal,Ambiente,1
2,51,59,77,B,Fragil,Ambiente,2
1,27,53,70,C,Normal,Refrigerado,1
2,48,19,71,B,Fragil,Ambiente,2
2,65,39,62,B,Fragil,Ambiente,2
2,45,80,25,B,Fragil,Ambiente,2
1,90,43,75,A,Normal,Ambiente,1
1,50,11,56,C,Normal,Refrigerado,1
1,76,57,35,A,Normal,Ambiente,1
1,77,69,95,C,Normal,Refrigerado,1
1,80,40,45,A,Normal,Ambiente,1
1,77,5,35,A,Normal,Ambiente,1
1,26,40,86,C,Normal,Refrigerado,1
1,94,91,27,C,Normal,Refrigerado,1
1,41,12,34,A,Normal,Ambiente,1
1,47,47,14,C,Normal,Refrigerado,1
1,100,43,5,C,Normal,Refrigerado,1
1,64,30,75,C,Normal,Refrigerado,1
2,48,26,81,D,Fragil,Refrigerado,2
1,26,77,33,A,Normal,Ambiente,1
1,48,11,59,C,Normal,Refrigerado,1
1,78,9,83,A,Normal,Ambiente,1
2,93,78,25,D,Fragil,Refrigerado,2
1,60,97,43,C,Normal,Refrigerado,1
1,21,48,96,C,Normal,Refrigerado,1
1,56,39,79,C,Normal,Refrigerado,1
2,86,79,93,D,Fragil,Refrigerado,2
1,6,22,43,A,Normal,Ambiente,1
2,72,82,52,B,Fragil,Ambiente,2
1,84,59,64,A,Normal,Ambiente,1
1,81,6,38,A,Normal,Ambiente,1
2,77,27,49,D,Fragil,Refrigerado,2
1,97,17,20,C,Normal,Refrigerado,1
2,80,74,20,D,Fragil,Refrigerado,2
1,88,62,100,C,Normal,Refrigerado,1
1,68,98,65,A,Normal,Ambiente,1
2,44,83,76,D,Fragil,Refrigerado,2
2,7,19,85,B,Fragil,Ambiente,2
1,84,50,93,A,Normal,Ambiente,1
2,33,16,15,B,Fragil,Ambiente,2
1,72,25,56,C,Normal,Refrigerado,1
1,11,58,40,A,Normal,Ambiente,1
1,84,19,20,C,Normal,Refrigerado,1
1,89,61,43,A,Normal,Ambiente,1
1,8,65,25,A,Normal,Ambiente,1
2,39,59,59,D,Fragil,Refrigerado,2
1,100,36,36,A,Normal,Ambiente,1
1,37,56,75,A,Normal,Ambiente,1
1,35,100,77,A,Normal,Ambiente,1
2,66,89,67,D,Fragil,Refrigerado,2
2,100,33,10,B,Fragil,Ambiente,2
2,57,54,37,D,Fragil,Refrigerado,2
1,89,21,26,C,Normal,Refrigerado,1
1,19,55,89,C,Normal,Refrigerado,1
1,59,70,41,A,Normal,Ambiente,1
2,71,75,51,B,Fragil,Ambiente,2
2,52,81,39,D,Fragil,Refrigerado,2
1,62,18,42,A,Normal,Ambiente,1
1,37,89,31,A,Normal,Ambiente,1
1,17,78,56,C,Normal,Refrigerado,1
2,7,37,20,D,Fragil,Refrigerado,2
1,85,7,94,C,Normal,Refrigerado,1
1,21,26,75,A,Normal,Ambiente,1
1,52,94,69,C,Normal,Refrigerado,1
2,15,91,23,D,Fragil,Refrigerado,2
2,26,94,27,D,Fragil,Refrigerado,2
1,95,57,13,C,Normal,Refrigerado,1
1,75,61,51,C,Normal,Refrigerado,1
1,65,85,95,C,Normal,Refrigerado,1
1,50,98,42,C,Normal,Refrigerado,1
2,80,27,14,D,Fragil,Refrigerado,2
1,44,63,60,A,Normal,Ambiente,1
2,64,20,13,B,Fragil,Ambiente,2
1,89,43,99,C,Normal,Refrigerado,1
1,78,47,72,C,Normal,Refrigerado,1
2,74,87,16,D,Fragil,Refrigerado,2
1,97,48,20,C,Normal,Refrigerado,1
1,81,55,21,C,Normal,Refrigerado,1
2,60,5,87,D,Fragil,Refrigerado,2
1,65,98,56,C,Normal,Refrigerado,1
1,40,12,62,A,Normal,Ambiente,1
1,37,98,79,A,Normal,Ambiente,1
2,41,94,40,B,Fragil,Ambiente,2
1,78,96,57,C,Normal,Refrigerado,1
1,72,29,10,C,Normal,Refrigerado,1
2,17,94,71,D,Fragil,Refrigerado,2
2,55,13,33,D,Fragil,Refrigerado,2
2,15,59,28,B,Fragil,Ambiente,2
1,87,23,43,A,Normal,Ambiente,1
2,98,74,74,B,Fragil,Ambiente,2
1,60,26,49,C,Normal,Refrigerado,1
1,54,75,33,A,Normal,Ambiente,1
2,60,54,36,D,Fragil,Refrigerado,2
2,26,11,25,D,Fragil,Refrigerado,2
1,68,33,78,A,Normal,Ambiente,1
1,53,69,22,A,Normal,Ambiente,1
1,27,68,63,A,Normal,Ambiente,1
1,29,50,50,A,Normal,Ambiente,1
1,79,21,56,A,Normal,Ambiente,1
2,99,8,18,B,Fragil,Ambiente,2
2,23,43,66,D,Fragil,Refrigerado,2
2,52,100,46,B,Fragil,Ambiente,2
2,18,74,70,B,Fragil,Ambiente,2
2,37,69,48,B,Fragil,Ambiente,2
1,48,42,85,C,Normal,Refrigerado,1
1,91,100,18,C,Normal,Refrigerado,1
1,36,94,88,C,Normal,Refrigerado,1
1,86,44,9,A,Normal,Ambiente,1
1,81,87,29,C,Normal,Refrigerado,1
1,62,24,93,C,Normal,Refrigerado,1
1,86,71,86,A,Normal,Ambiente,1
1,72,73,62,A,Normal,Ambiente,1
2,64,78,61,B,Fragil,Ambiente,2
2,37,13,85,D,Fragil,Refrigerado,2
1,41,6,68,C,Normal,Refrigerado,1
1,91,48,49,C,Normal,Refrigerado,1
2,67,61,35,D,Fragil,Refrigerado,2
2,31,80,49,D,Fragil,Refrigerado,2
1,13,85,9,A,Normal,Ambiente,1
1,63,41,77,A,Normal,Ambiente,1
1,48,7,84,C,Normal,Refrigerado,1
2,80,36,84,B,Fragil,Ambiente,2
1,74,39,51,C,Normal,Refrigerado,1
2,56,82,90,D,Fragil,Refrigerado,2
2,82,30,45,B,Fragil,Ambiente,2
1,36,59,7,C,Normal,Refrigerado,1
2,29,79,10,D,Fragil,Refrigerado,2
1,61,88,40,A,Normal,Ambiente,1
1,81,73,30,A,Normal,Ambiente,1
1,22,29,88,C,Normal,Refrigerado,1
1,53,89,71,C,Normal,Refrigerado,1
2,91,43,50,D,Fragil,Refrigerado,2
2,7,62,64,D,Fragil,Refrigerado,2
2,65,13,78,D,Fragil,Refrigerado,2
2,95,11,82,B,Fragil,Ambiente,2
2,6,77,73,B,Fragil,Ambiente,2
1,40,90,52,C,Normal,Refrigerado,1
1,43,7,75,A,Normal,Ambiente,1
1,100,56,32,A,Normal,Ambiente,1
1,82,46,75,A,Normal,Ambiente,1
2,81,37,91,B,Fragil,Ambiente,2
1,66,7,27,C,Normal,Refrigerado,1
2,75,33,10,D,Fragil,Refrigerado,2
2,23,33,16,D,Fragil,Refrigerado,2
2,68,26,35,B,Fragil,Ambiente,2
2,35,24,37,B,Fragil,Ambiente,2
1,60,72,99,C,Normal,Refrigerado,1
2,22,60,65,D,Fragil,Refrigerado,2
1,82,74,94,A,Normal,Ambiente,1
2,82,82,99,D,Fragil,Refrigerado,2
1,53,38,26,A,Normal,Ambiente,1
2,13,77,17,B,Fragil,Ambiente,2
1,79,9,68,C,Normal,Refrigerado,1
1,74,47,30,C,Normal,Refrigerado,1
1,30,61,31,A,Normal,Ambiente,1
2,25,93,21,D,Fragil,Refrigerado,2
1,96,66,36,C,Normal,Refrigerado,1
1,19,34,29,A,Normal,Ambiente,1
2,87,92,24,D,Fragil,Refrigerado,2
2,40,28,76,D,Fragil,Refrigerado,2
1,45,55,84,A,Normal,Ambiente,1
1,76,90,86,A,Normal,Ambiente,1
2,91,91,58,D,Fragil,Refrigerado,2
1,19,72,22,C,Normal,Refrigerado,1
2,29,92,36,B,Fragil,Ambiente,2
2,43,85,94,D,Fragil,Refrigerado,2
2,87,85,43,D,Fragil,Refrigerado,2
2,63,59,27,D,Fragil,Refrigerado,2
1,48,30,17,C,Normal,Refrigerado,1
2,56,88,99,B,Fragil,Ambiente,2
2,48,84,42,D,Fragil,Refrigerado,2
1,94,54,95,A,Normal,Ambiente,1
1,64,6,26,A,Normal,Ambiente,1
1,5,58,51,A,Normal,Ambiente,1
2,53,14,7,B,Fragil,Ambiente,2
1,36,45,13,C,Normal,Refrigerado,1
2,20,17,45,B,Fragil,Ambiente,2
2,56,72,36,D,Fragil,Refrigerado,2
1,29,46,49,A,Normal,Ambiente,1
2,84,32,24,B,Fragil,Ambiente,2
1,5,98,60,A,Normal,Ambiente,1
2,79,82,17,B,Fragil,Ambiente,2
2,87,13,49,B,Fragil,Ambiente,2
1,12,76,61,C,Normal,Refrigerado,1
1,59,41,12,C,Normal,Refrigerado,1
2,27,75,44,B,Fragil,Ambiente,2
2,77,97,57,B,Fragil,Ambiente,2
2,66,98,88,D,Fragil,Refrigerado,2
2,87,11,14,B,Fragil,Ambiente,2
2,85,85,96,D,Fragil,Refrigerado,2
2,32,66,52,B,Fragil,Ambiente,2
2,6,72,54,D,Fragil,Refrigerado,2
2,67,90,80,D,Fragil,Refrigerado,2
2,27,85,62,D,Fragil,Refrigerado,2
2,60,52,17,D,Fragil,Refrigerado,2
1,10,60,64,A,Normal,Ambiente,1
2,52,88,11,D,Fragil,Refrigerado,2
1,65,91,29,A,Normal,Ambiente,1
2,34,97,66,B,Fragil,Ambiente,2
1,56,49,82,A,Normal,Ambiente,1
1,45,62,87,C,Normal,Refrigerado,1
1,42,94,57,C,Normal,Refrigerado,1
1,10,31,55,C,Normal,Refrigerado,1
1,6,57,77,C,Normal,Refrigerado,1
1,86,76,86,A,Normal,Ambiente,1
2,39,100,32,D,Fragil,Refrigerado,2
1,100,50,92,A,Normal,Ambiente,1
2,25,39,47,D,Fragil,Refrigerado,2
1,32,5,27,C,Normal,Refrigerado,1
2,61,71,68,B,Fragil,Ambiente,2
2,15,76,65,D,Fragil,Refrigerado,2
2,5,99,24,B,Fragil,Ambiente,2
2,86,52,33,D,Fragil,Refrigerado,2
2,47,71,92,B,Fragil,Ambiente,2
1,5,91,85,C,Normal,Refrigerado,1
2,67,59,24,B,Fragil,Ambiente,2
1,35,16,11,A,Normal,Ambiente,1
1,85,43,94,C,Normal,Refrigerado,1
2,76,32,77,D,Fragil,Refrigerado,2
2,77,15,31,B,Fragil,Ambiente,2
1,66,71,43,A,Normal,Ambiente,1
1,16,39,9,A,Normal,Ambiente,1
2,38,16,64,B,Fragil,Ambiente,2
2,64,61,19,B,Fragil,Ambiente,2
1,47,33,24,C,Normal,Refrigerado,1
2,69,96,99,B,Fragil,Ambiente,2
2,36,68,40,D,Fragil,Refrigerado,2
2,97,72,21,D,Fragil,Refrigerado,2
2,51,75,20,B,Fragil,Ambiente,2
2,19,85,13,D,Fragil,Refrigerado,2
2,44,35,97,D,Fragil,Refrigerado,2
1,67,64,98,C,Normal,Refrigerado,1
2,57,55,53,B,Fragil,Ambiente,2
1,53,92,11,A,Normal,Ambiente,1
2,62,27,33,B,Fragil,Ambiente,2
1,32,52,70,C,Normal,Refrigerado,1
1,40,8,41,C,Normal,Refrigerado,1
2,61,96,50,B,Fragil,Ambiente,2
1,14,24,16,C,Normal,Refrigerado,1
1,68,76,48,C,Normal,Refrigerado,1
1,19,57,76,A,Normal,Ambiente,1
1,17,100,43,C,Normal,Refrigerado,1
1,70,76,66,A,Normal,Ambiente,1
2,64,28,22,D,Fragil,Refrigerado,2
2,80,14,12,D,Fragil,Refrigerado,2
1,57,78,24,A,Normal,Ambiente,1
1,65,44,17,C,Normal,Refrigerado,1
2,39,26,13,D,Fragil,Refrigerado,2
2,71,81,17,B,Fragil,Ambiente,2
2,7,9,100,B,Fragil,Ambiente,2
2,71,82,66,B,Fragil,Ambiente,2
2,96,59,57,B,Fragil,Ambiente,2
1,81,29,45,C,Normal,Refrigerado,1
2,15,37,75,D,Fragil,Refrigerado,2
2,14,92,73,B,Fragil,Ambiente,2
2,20,82,92,D,Fragil,Refrigerado,2
1,19,41,38,A,Normal,Ambiente,1
2,35,79,100,D,Fragil,Refrigerado,2
1,46,71,79,A,Normal,Ambiente,1
1,25,94,48,C,Normal,Refrigerado,1
2,96,75,87,D,Fragil,Refrigerado,2
1,71,25,45,A,Normal,Ambiente,1
1,32,58,51,C,Normal,Refrigerado,1
2,82,9,24,D,Fragil,Refrigerado,2
1,12,69,38,C,Normal,Refrigerado,1
2,19,66,65,B,Fragil,Ambiente,2
1,77,21,15,C,Normal,Refrigerado,1
1,51,63,14,A,Normal,Ambiente,1
2,21,72,24,B,Fragil,Ambiente,2
2,85,12,76,D,Fragil,Refrigerado,2
1,73,11,59,A,Normal,Ambiente,1
1,59,15,5,A,Normal,Ambiente,1
1,26,20,15,C,Normal,Refrigerado,1
2,34,7,59,B,Fragil,Ambiente,2
2,36,84,22,B,Fragil,Ambiente,2
1,68,96,91,C,Normal,Refrigerado,1
1,68,85,26,A,Normal,Ambiente,1
2,68,76,71,D,Fragil,Refrigerado,2
1,23,55,94,A,Normal,Ambiente,1
2,67,80,91,D,Fragil,Refrigerado,2
2,69,29,29,B,Fragil,Ambiente,2
1,29,29,97,A,Normal,Ambiente,1
1,83,89,59,C,Normal,Refrigerado,1
2,95,40,35,B,Fragil,Ambiente,2
1,82,56,17,C,Normal,Refrigerado,1
1,51,50,28,C,Normal,Refrigerado,1
2,43,22,64,B,Fragil,Ambiente,2
1,55,50,8,A,Normal,Ambiente,1
2,42,50,32,D,Fragil,Refrigerado,2
1,50,96,81,C,Normal,Refrigerado,1
1,68,70,18,A,Normal,Ambiente,1
1,29,38,93,A,Normal,Ambiente,1
2,43,8,78,B,Fragil,Ambiente,2
2,67,58,90,D,Fragil,Refrigerado,2
2,63,8,78,D,Fragil,Refrigerado,2
1,45,96,31,C,Normal,Refrigerado,1
2,78,26,81,D,Fragil,Refrigerado,2
2,43,93,36,D,Fragil,Refrigerado,2
1,51,28,54,C,Normal,Refrigerado,1
2,70,40,61,D,Fragil,Refrigerado,2
2,19,61,85,D,Fragil,Refrigerado,2
1,15,21,95,A,Normal,Ambiente,1
1,20,60,39,A,Normal,Ambiente,1
2,19,52,59,D,Fragil,Refrigerado,2
2,33,22,24,B,Fragil,Ambiente,2
1,64,64,46,C,Normal,Refrigerado,1
2,79,23,34,D,Fragil,Refrigerado,2
2,61,28,10,B,Fragil,Ambiente,2
1,81,9,86,A,Normal,Ambiente,1
2,13,46,92,D,Fragil,Refrigerado,2
2,15,29,46,D,Fragil,Refrigerado,2
2,24,35,29,B,Fragil,Ambiente,2
1,20,65,91,C,Normal,Refrigerado,1
2,48,70,16,B,Fragil,Ambiente,2
1,46,94,8,A,Normal,Ambiente,1
1,27,91,59,C,Normal,Refrigerado,1
2,32,50,43,B,Fragil,Ambiente,2
1,49,63,47,A,Normal,Ambiente,1
2,18,72,88,D,Fragil,Refrigerado,2
2,12,31,56,D,Fragil,Refrigerado,2
1,27,8,94,A,Normal,Ambiente,1
2,5,7,67,D,Fragil,Refrigerado,2
2,65,90,39,D,Fragil,Refrigerado,2
1,55,91,5,A,Normal,Ambiente,1
1,64,85,100,C,Normal,Refrigerado,1
1,81,27,31,A,Normal,Ambiente,1
1,55,19,39,A,Normal,Ambiente,1
1,39,13,81,A,Normal,Ambiente,1
1,24,57,24,C,Normal,Refrigerado,1
1,53,88,23,C,Normal,Refrigerado,1
2,45,74,60,B,Fragil,Ambiente,2
1,73,74,68,C,Normal,Refrigerado,1
2,10,82,8,D,Fragil,Refrigerado,2
2,90,37,36,D,Fragil,Refrigerado,2
2,72,53,49,B,Fragil,Ambiente,2
1,75,26,83,C,Normal,Refrigerado,1
1,86,58,97,C,Normal,Refrigerado,1
2,71,17,41,B,Fragil,Ambiente,2
2,85,35,88,B,Fragil,Ambiente,2
2,68,11,30,B,Fragil,Ambiente,2
2,37,37,41,B,Fragil,Ambiente,2
2,47,87,84,D,Fragil,Refrigerado,2
1,66,15,48,A,Normal,Ambiente,1
1,38,37,15,C,Normal,Refrigerado,1
1,27,100,64,C,Normal,Refrigerado,1
1,49,94,53,C,Normal,Refrigerado,1
1,27,25,37,C,Normal,Refrigerado,1
1,23,6,52,A,Normal,Ambiente,1
2,60,19,90,B,Fragil,Ambiente,2
1,5,58,69,C,Normal,Refrigerado,1
1,57,30,57,A,Normal,Ambiente,1
2,91,85,29,D,Fragil,Refrigerado,2
2,58,12,18,B,Fragil,Ambiente,2
1,48,26,47,A,Normal,Ambiente,1
1,32,49,14,C,Normal,Refrigerado,1
1,69,97,99,A,Normal,Ambiente,1
2,8,34,9,D,Fragil,Refrigerado,2
2,79,51,48,B,Fragil,Ambiente,2
2,71,70,74,B,Fragil,Ambiente,2
1,39,52,71,C,Normal,Refrigerado,1
2,16,26,78,D,Fragil,Refrigerado,2
2,96,22,9,B,Fragil,Ambiente,2
1,71,23,39,C,Normal,Refrigerado,1
1,44,29,42,C,Normal,Refrigerado,1
1,22,77,10,C,Normal,Refrigerado,1
1,37,33,43,A,Normal,Ambiente,1
2,65,49,45,B,Fragil,Ambiente,2
1,11,24,73,A,Normal,Ambiente,1
1,85,5,87,C,Normal,Refrigerado,1
2,64,20,59,B,Fragil,Ambiente,2
2,36,81,65,B,Fragil,Ambiente,2
2,86,66,11,B,Fragil,Ambiente,2
1,21,47,98,C,Normal,Refrigerado,1
1,92,68,16,C,Normal,Refrigerado,1
2,75,43,49,B,Fragil,Ambiente,2
2,75,85,42,D,Fragil,Refrigerado,2
1,53,20,31,C,Normal,Refrigerado,1
1,24,61,22,C,Normal,Refrigerado,1
2,31,46,41,B,Fragil,Ambiente,2
1,78,12,30,A,Normal,Ambiente,1
2,100,86,35,B,Fragil,Ambiente,2
2,16,86,14,D,Fragil,Refrigerado,2
2,35,19,83,D,Fragil,Refrigerado,2
2,17,60,29,D,Fragil,Refrigerado,2
2,19,36,24,B,Fragil,Ambiente,2
2,20,20,56,B,Fragil,Ambiente,2
2,66,36,28,D,Fragil,Refrigerado,2
2,93,97,44,B,Fragil,Ambiente,2
2,29,51,35,B,Fragil,Ambiente,2
2,95,21,69,B,Fragil,Ambiente,2
2,36,7,18,B,Fragil,Ambiente,2
2,21,58,39,B,Fragil,Ambiente,2
1,5,64,43,A,Normal,Ambiente,1
2,74,40,47,D,Fragil,Refrigerado,2
2,91,62,18,B,Fragil,Ambiente,2
1,8,19,73,C,Normal,Refrigerado,1
1,46,7,71,C,Normal,Refrigerado,1
1,12,42,25,A,Normal,Ambiente,1
2,73,77,20,B,Fragil,Ambiente,2
1,99,55,99,A,Normal,Ambiente,1
1,85,23,41,A,Normal,Ambiente,1
1,52,52,54,A,Normal,Ambiente,1
2,63,16,51,B,Fragil,Ambiente,2
2,95,47,54,B,Fragil,Ambiente,2
1,44,22,36,C,Normal,Refrigerado,1
1,72,35,96,A,Normal,Ambiente,1
2,92,68,68,B,Fragil,Ambiente,2
2,5,64,69,D,Fragil,Refrigerado,2
2,7,47,76,B,Fragil,Ambiente,2
1,8,90,91,A,Normal,Ambiente,1
1,78,98,58,C,Normal,Refrigerado,1
1,36,52,68,A,Normal,Ambiente,1
1,98,61,34,A,Normal,Ambiente,1
1,49,55,12,C,Normal,Refrigerado,1
2,48,28,8,D,Fragil,Refrigerado,2
1,89,23,16,A,Normal,Ambiente,1
1,64,21,32,A,Normal,Ambiente,1
1,92,77,5,A,Normal,Ambiente,1
2,6,36,60,B,Fragil,Ambiente,2
2,47,77,44,B,Fragil,Ambiente,2
2,94,48,96,D,Fragil,Refrigerado,2
2,22,16,17,D,Fragil,Refrigerado,2
1,90,59,40,A,Normal,Ambiente,1
1,72,46,14,C,Normal,Refrigerado,1
2,8,22,39,D,Fragil,Refrigerado,2
1,48,55,82,A,Normal,Ambiente,1
2,30,36,58,B,Fragil,Ambiente,2
2,76,76,30,D,Fragil,Refrigerado,2
2,26,89,13,D,Fragil,Refrigerado,2
2,25,35,40,B,Fragil,Ambiente,2
2,7,61,80,B,Fragil,Ambiente,2
2,89,66,65,B,Fragil,Ambiente,2
2,5,19,95,B,Fragil,Ambiente,2
1,23,29,100,C,Normal,Refrigerado,1
2,87,84,70,B,Fragil,Ambiente,2
1,82,66,81,C,Normal,Refrigerado,1
2,55,49,100,D,Fragil,Refrigerado,2
1,64,34,22,C,Normal,Refrigerado,1
1,34,77,80,C,Normal,Refrigerado,1
1,91,96,22,A,Normal,Ambiente,1
1,7,74,61,C,Normal,Refrigerado,1
2,56,96,15,D,Fragil,Refrigerado,2
2,37,46,92,D,Fragil,Refrigerado,2
1,25,35,64,C,Normal,Refrigerado,1
2,74,52,83,B,Fragil,Ambiente,2
2,99,24,25,D,Fragil,Refrigerado,2
1,71,76,43,C,Normal,Refrigerado,1
2,27,28,75,D,Fragil,Refrigerado,2
1,25,22,64,A,Normal,Ambiente,1
1,51,94,74,C,Normal,Refrigerado,1
2,90,75,63,D,Fragil,Refrigerado,2
